DataSet: elecNormNew - Accuracy
Instance,    ECDD,     DDM,    EDDM,     ARF
  4000.0,   19.27,   12.80,   20.12,   31.16
  5000.0,   18.90,   18.03,   19.65,   36.47
  6000.0,   10.50,    8.49,   12.30,   30.95
  7000.0,   10.21,    2.26,   12.44,   34.22
  8000.0,    8.98,    4.01,    3.80,   28.31
  9000.0,   20.91,   20.53,   19.06,   36.14
 10000.0,   11.10,    9.40,   11.73,   31.26
 11000.0,   11.61,    5.21,   13.46,   33.67
 12000.0,   13.85,    1.74,   15.92,   36.22
 13000.0,   15.13,   19.50,   12.64,   37.27
 14000.0,    9.11,   13.30,   13.79,   26.82
 15000.0,   17.15,    3.56,   18.29,   33.86
 16000.0,   20.54,   17.90,   21.47,   38.58
 17000.0,   15.71,   -4.13,    9.67,   38.12
 18000.0,    9.02,   -2.38,    7.62,   28.45
 18159.0,    8.84,  -12.84,    5.40,   26.06
